type,A,B,name,label::English,label::Français,label::Swahili,French_lab,Swahililab,calculation,appearance,hint::English,hint::Français,hint::Swahili,relevant,default,constraint,constraint_message::Français,constraint_message::Swahili,required,repeat_count
select_one exact_list,2,A.4.2,age_exact_4,C.1.2 Is the age of the household member exact of approximate?,A.4.2 Est-ce que l'age est exacte ou approximatif?,A.4.2 Je! miaka ya ${mem_nm_4} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_4} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.4.3,literacy_4,C.1.3 Is the household member literate?,A.4.3 Est-ce que${mem_nm_4} est alphabétisé?,A.4.3 Je! ${mem_nm_4} ni musomi?,Est-ce que${mem_nm_4} est alphabétisé?,Je! ${mem_nm_4} ni musomi?,,,,,,${age_4}>4,,,,,yes,
select_one gender_list,4,A.4.4,gender_4,C.1.4 Enter the gender of this member,A.4.4 Quel est le genre de ${mem_nm_4}?,A.4.4 Je! ${mem_nm_4} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_4}?,Je! ${mem_nm_4} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.4.5,relhead_4,C.1.5 Relationship with Household head,A.4.5 Quelle est la relation avec le chef du ménage?,A.4.5 ${mem_nm_4} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_4} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.4.6,resstat_4,What is the residence status within the household?,A.4.6 Quelle est le statut de residence au ménage de ${mem_nm_4}?,A.4.6 Je! ${mem_nm_4} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_4}?,Je! ${mem_nm_4} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.4.7,school_4,What is the level of education?,A.4.7 Quel est le niveau d'education de ${mem_nm_4}?,A.4.7 ${mem_nm_4} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_4}?,${mem_nm_4} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.4.8,reli_4,What is the religion,A.4.8 Quelle est la religion de ${mem_nm_4}?,A.4.8 Dini ya ${mem_nm_4} ni gani?,Quelle est la religion de ${mem_nm_4}?,Dini ya ${mem_nm_4} ni gani?,,,,,,,,,,,yes,
text,9,A.4.9,reli_aut_4,Other religion,A.4.9 Autre religion,A.4.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_4}='96',,,,,yes,
select_one tribe_list,10,A.4.10,etn_4,What is the mother language?,A.4.10 Quelle est le langue maternel de ${mem_nm_4}?,A.4.10 Luga ya ${mem_nm_4} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_4}?,Luga ya ${mem_nm_4} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.4.11,etn_aut_4,Other religion,A.4.11 Autre langue,A.4.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_4}='96',,,,,yes,
select_one occupation_list,12,A.4.12,occup_4,What is the primary occupation,A.4.12 Quelle est la occupation primaire de ${mem_nm_4}?,A.4.12 Kazi ya kawaida ya ${mem_nm_4}?,Quelle est la occupation primaire de ${mem_nm_4}?,Kazi ya kawaida ya ${mem_nm_4}?,,,,,,${age_4}>12,,,,,yes,
text,13,A.4.13,occup_aut_4,Specify,A.4.13 Specifiez,A.4.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_4}='96',,,,,yes,
select_one share5_list,14,A.4.14,timeagr_4,Time spent on agricultural work,A.4.14 Combien de temps dispense ce membre pour travail agricol?,A.4.14 ${mem_nm_4} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_4} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_4}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,5,,mem5,${mem_nm_5},${mem_nm_5},${mem_nm_5},,${mem_nm_5},,,,,,${size} >=5,,,,,,
note,,,note_member_name_5,Please answer the following questions for ${mem_nm_5},Répondez les questions suivants pour ${mem_nm_5},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_5},Répondez les questions suivants pour ${mem_nm_5},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_5},,,,,,,,,,,,
integer,1,A.5.1,age_5,C.5.1 Enter the age of this member,A.5.1 Quel est l'age de ${mem_nm_5},A.5.1 ${mem_nm_5} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_5},${mem_nm_5} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.5.2,age_exact_5,C.1.2 Is the age of the household member exact of approximate?,A.5.2 Est-ce que l'age est exacte ou approximatif?,A.5.2 Je! miaka ya ${mem_nm_5} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_5} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.5.3,literacy_5,C.1.3 Is the household member literate?,A.5.3 Est-ce que${mem_nm_5} est alphabétisé?,A.5.3 Je! ${mem_nm_5} ni musomi?,Est-ce que${mem_nm_5} est alphabétisé?,Je! ${mem_nm_5} ni musomi?,,,,,,${age_5}>4,,,,,yes,
select_one gender_list,4,A.5.4,gender_5,C.1.4 Enter the gender of this member,A.5.4 Quel est le genre de ${mem_nm_5}?,A.5.4 Je! ${mem_nm_5} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_5}?,Je! ${mem_nm_5} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.5.5,relhead_5,C.1.5 Relationship with Household head,A.5.5 Quelle est la relation avec le chef du ménage?,A.5.5 ${mem_nm_5} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_5} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.5.6,resstat_5,What is the residence status within the household?,A.5.6 Quelle est le statut de residence au ménage de ${mem_nm_5}?,A.5.6 Je! ${mem_nm_5} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_5}?,Je! ${mem_nm_5} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.5.7,school_5,What is the level of education?,A.5.7 Quel est le niveau d'education de ${mem_nm_5}?,A.5.7 ${mem_nm_5} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_5}?,${mem_nm_5} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.5.8,reli_5,What is the religion,A.5.8 Quelle est la religion de ${mem_nm_5}?,A.5.8 Dini ya ${mem_nm_5} ni gani?,Quelle est la religion de ${mem_nm_5}?,Dini ya ${mem_nm_5} ni gani?,,,,,,,,,,,yes,
text,9,A.5.9,reli_aut_5,Other religion,A.5.9 Autre religion,A.5.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_5}='96',,,,,yes,
select_one tribe_list,10,A.5.10,etn_5,What is the mother language?,A.5.10 Quelle est le langue maternel de ${mem_nm_5}?,A.5.10 Luga ya ${mem_nm_5} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_5}?,Luga ya ${mem_nm_5} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.5.11,etn_aut_5,Other religion,A.5.11 Autre langue,A.5.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_5}='96',,,,,yes,
select_one occupation_list,12,A.5.12,occup_5,What is the primary occupation,A.5.12 Quelle est la occupation primaire de ${mem_nm_5}?,A.5.12 Kazi ya kawaida ya ${mem_nm_5}?,Quelle est la occupation primaire de ${mem_nm_5}?,Kazi ya kawaida ya ${mem_nm_5}?,,,,,,${age_5}>12,,,,,yes,
text,13,A.5.13,occup_aut_5,Specify,A.5.13 Specifiez,A.5.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_5}='96',,,,,yes,
select_one share5_list,14,A.5.14,timeagr_5,Time spent on agricultural work,A.5.14 Combien de temps dispense ce membre pour travail agricol?,A.5.14 ${mem_nm_5} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_5} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_5}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,6,,mem6,${mem_nm_6},${mem_nm_6},${mem_nm_6},,${mem_nm_6},,,,,,${size} >=6,,,,,,
note,,,note_member_name_6,Please answer the following questions for ${mem_nm_6},Répondez les questions suivants pour ${mem_nm_6},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_6},Répondez les questions suivants pour ${mem_nm_6},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_6},,,,,,,,,,,,
integer,1,A.6.1,age_6,C.6.1 Enter the age of this member,A.6.1 Quel est l'age de ${mem_nm_6},A.6.1 ${mem_nm_6} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_6},${mem_nm_6} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.6.2,age_exact_6,C.1.2 Is the age of the household member exact of approximate?,A.6.2 Est-ce que l'age est exacte ou approximatif?,A.6.2 Je! miaka ya ${mem_nm_6} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_6} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.6.3,literacy_6,C.1.3 Is the household member literate?,A.6.3 Est-ce que${mem_nm_6} est alphabétisé?,A.6.3 Je! ${mem_nm_6} ni musomi?,Est-ce que${mem_nm_6} est alphabétisé?,Je! ${mem_nm_6} ni musomi?,,,,,,${age_6}>4,,,,,yes,
select_one gender_list,4,A.6.4,gender_6,C.1.4 Enter the gender of this member,A.6.4 Quel est le genre de ${mem_nm_6}?,A.6.4 Je! ${mem_nm_6} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_6}?,Je! ${mem_nm_6} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.6.5,relhead_6,C.1.5 Relationship with Household head,A.6.5 Quelle est la relation avec le chef du ménage?,A.6.5 ${mem_nm_6} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_6} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.6.6,resstat_6,What is the residence status within the household?,A.6.6 Quelle est le statut de residence au ménage de ${mem_nm_6}?,A.6.6 Je! ${mem_nm_6} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_6}?,Je! ${mem_nm_6} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.6.7,school_6,What is the level of education?,A.6.7 Quel est le niveau d'education de ${mem_nm_6}?,A.6.7 ${mem_nm_6} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_6}?,${mem_nm_6} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.6.8,reli_6,What is the religion,A.6.8 Quelle est la religion de ${mem_nm_6}?,A.6.8 Dini ya ${mem_nm_6} ni gani?,Quelle est la religion de ${mem_nm_6}?,Dini ya ${mem_nm_6} ni gani?,,,,,,,,,,,yes,
text,9,A.6.9,reli_aut_6,Other religion,A.6.9 Autre religion,A.6.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_6}='96',,,,,yes,
select_one tribe_list,10,A.6.10,etn_6,What is the mother language?,A.6.10 Quelle est le langue maternel de ${mem_nm_6}?,A.6.10 Luga ya ${mem_nm_6} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_6}?,Luga ya ${mem_nm_6} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.6.11,etn_aut_6,Other religion,A.6.11 Autre langue,A.6.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_6}='96',,,,,yes,
select_one occupation_list,12,A.6.12,occup_6,What is the primary occupation,A.6.12 Quelle est la occupation primaire de ${mem_nm_6}?,A.6.12 Kazi ya kawaida ya ${mem_nm_6}?,Quelle est la occupation primaire de ${mem_nm_6}?,Kazi ya kawaida ya ${mem_nm_6}?,,,,,,${age_6}>12,,,,,yes,
text,13,A.6.13,occup_aut_6,Specify,A.6.13 Specifiez,A.6.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_6}='96',,,,,yes,
select_one share5_list,14,A.6.14,timeagr_6,Time spent on agricultural work,A.6.14 Combien de temps dispense ce membre pour travail agricol?,A.6.14 ${mem_nm_6} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_6} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_6}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,7,,mem7,${mem_nm_7},${mem_nm_7},${mem_nm_7},,${mem_nm_7},,,,,,${size} >=7,,,,,,
note,,,note_member_name_7,Please answer the following questions for ${mem_nm_7},Répondez les questions suivants pour ${mem_nm_7},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_7},Répondez les questions suivants pour ${mem_nm_7},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_7},,,,,,,,,,,,
integer,1,A.7.1,age_7,C.7.1 Enter the age of this member,A.7.1 Quel est l'age de ${mem_nm_7},A.7.1 ${mem_nm_7} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_7},${mem_nm_7} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.7.2,age_exact_7,C.1.2 Is the age of the household member exact of approximate?,A.7.2 Est-ce que l'age est exacte ou approximatif?,A.7.2 Je! miaka ya ${mem_nm_7} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_7} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.7.3,literacy_7,C.1.3 Is the household member literate?,A.7.3 Est-ce que${mem_nm_7} est alphabétisé?,A.7.3 Je! ${mem_nm_7} ni musomi?,Est-ce que${mem_nm_7} est alphabétisé?,Je! ${mem_nm_7} ni musomi?,,,,,,${age_7}>4,,,,,yes,
select_one gender_list,4,A.7.4,gender_7,C.1.4 Enter the gender of this member,A.7.4 Quel est le genre de ${mem_nm_7}?,A.7.4 Je! ${mem_nm_7} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_7}?,Je! ${mem_nm_7} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.7.5,relhead_7,C.1.5 Relationship with Household head,A.7.5 Quelle est la relation avec le chef du ménage?,A.7.5 ${mem_nm_7} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_7} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.7.6,resstat_7,What is the residence status within the household?,A.7.6 Quelle est le statut de residence au ménage de ${mem_nm_7}?,A.7.6 Je! ${mem_nm_7} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_7}?,Je! ${mem_nm_7} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.7.7,school_7,What is the level of education?,A.7.7 Quel est le niveau d'education de ${mem_nm_7}?,A.7.7 ${mem_nm_7} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_7}?,${mem_nm_7} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.7.8,reli_7,What is the religion,A.7.8 Quelle est la religion de ${mem_nm_7}?,A.7.8 Dini ya ${mem_nm_7} ni gani?,Quelle est la religion de ${mem_nm_7}?,Dini ya ${mem_nm_7} ni gani?,,,,,,,,,,,yes,
text,9,A.7.9,reli_aut_7,Other religion,A.7.9 Autre religion,A.7.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_7}='96',,,,,yes,
select_one tribe_list,10,A.7.10,etn_7,What is the mother language?,A.7.10 Quelle est le langue maternel de ${mem_nm_7}?,A.7.10 Luga ya ${mem_nm_7} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_7}?,Luga ya ${mem_nm_7} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.7.11,etn_aut_7,Other religion,A.7.11 Autre langue,A.7.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_7}='96',,,,,yes,
select_one occupation_list,12,A.7.12,occup_7,What is the primary occupation,A.7.12 Quelle est la occupation primaire de ${mem_nm_7}?,A.7.12 Kazi ya kawaida ya ${mem_nm_7}?,Quelle est la occupation primaire de ${mem_nm_7}?,Kazi ya kawaida ya ${mem_nm_7}?,,,,,,${age_7}>12,,,,,yes,
text,13,A.7.13,occup_aut_7,Specify,A.7.13 Specifiez,A.7.13 Pana mwangaza,Specifiez,Pana mwangaza,,,,,,${occup_7}='96',,,,,yes,
select_one share5_list,14,A.7.14,timeagr_7,Time spent on agricultural work,A.7.14 Combien de temps dispense ce membre pour travail agricol?,A.7.14 ${mem_nm_7} amefanya muda gani kwa kulima?,Combien de temps dispense ce membre pour travail agricol?,${mem_nm_7} amefanya muda gani kwa kulima?,,,,"Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire","Incluyez seulement le temps travaillé sur les champs du ménage, pas le travail salaire",${age_7}>12,,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,8,,mem8,${mem_nm_8},${mem_nm_8},${mem_nm_8},,${mem_nm_8},,,,,,${size} >=8,,,,,,
note,,,note_member_name_8,Please answer the following questions for ${mem_nm_8},Répondez les questions suivants pour ${mem_nm_8},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_8},Répondez les questions suivants pour ${mem_nm_8},Tafazali jibu kwa maulizo yafuatayo kwa ${mem_nm_8},,,,,,,,,,,,
integer,1,A.8.1,age_8,C.8.1 Enter the age of this member,A.8.1 Quel est l'age de ${mem_nm_8},A.8.1 ${mem_nm_8} iko na miaka ngapi? ,Quel est l'age de ${mem_nm_8},${mem_nm_8} iko na miaka ngapi? ,,,,,,,,,,,yes,
select_one exact_list,2,A.8.2,age_exact_8,C.1.2 Is the age of the household member exact of approximate?,A.8.2 Est-ce que l'age est exacte ou approximatif?,A.8.2 Je! miaka ya ${mem_nm_8} ni kamili au inataka henea?,Est-ce que l'age est exacte ou approximatif?,Je! miaka ya ${mem_nm_8} ni kamili au inataka henea?,,,,,,,,,,,yes,
select_one yes_no,3,A.8.3,literacy_8,C.1.3 Is the household member literate?,A.8.3 Est-ce que${mem_nm_8} est alphabétisé?,A.8.3 Je! ${mem_nm_8} ni musomi?,Est-ce que${mem_nm_8} est alphabétisé?,Je! ${mem_nm_8} ni musomi?,,,,,,${age_8}>4,,,,,yes,
select_one gender_list,4,A.8.4,gender_8,C.1.4 Enter the gender of this member,A.8.4 Quel est le genre de ${mem_nm_8}?,A.8.4 Je! ${mem_nm_8} ni mwanamuke ao mwanaume?,Quel est le genre de ${mem_nm_8}?,Je! ${mem_nm_8} ni mwanamuke ao mwanaume?,,,"Often, this does not need to be asked, as it's visible","Souvent, on doit pas demander car c'est visible","Souvent, on doit pas demander car c'est visible",,,,,,yes,
select_one relation_cdm,5,A.8.5,relhead_8,C.1.5 Relationship with Household head,A.8.5 Quelle est la relation avec le chef du ménage?,A.8.5 ${mem_nm_8} ana undugu gani na mkubwa wa nyumba?,Quelle est la relation avec le chef du ménage?,${mem_nm_8} ana undugu gani na mkubwa wa nyumba?,,,,,,,,,,,yes,
select_one housingstatus_list,6,A.8.6,resstat_8,What is the residence status within the household?,A.8.6 Quelle est le statut de residence au ménage de ${mem_nm_8}?,A.8.6 Je! ${mem_nm_8} anabaki hapa kwa muda (miaka) yote?,Quelle est le statut de residence au ménage de ${mem_nm_8}?,Je! ${mem_nm_8} anabaki hapa kwa muda (miaka) yote?,,,,,,,,,,,yes,
select_one schooling_list,7,A.8.7,school_8,What is the level of education?,A.8.7 Quel est le niveau d'education de ${mem_nm_8}?,A.8.7 ${mem_nm_8} ameishia somo la ngapi?,Quel est le niveau d'education de ${mem_nm_8}?,${mem_nm_8} ameishia somo la ngapi?,,,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,Notez le niveau le plus élevé.,,,,,,yes,
select_one religion_list,8,A.8.8,reli_8,What is the religion,A.8.8 Quelle est la religion de ${mem_nm_8}?,A.8.8 Dini ya ${mem_nm_8} ni gani?,Quelle est la religion de ${mem_nm_8}?,Dini ya ${mem_nm_8} ni gani?,,,,,,,,,,,yes,
text,9,A.8.9,reli_aut_8,Other religion,A.8.9 Autre religion,A.8.9 Dini ingine?,Autre religion,Dini ingine?,,,,,,${reli_8}='96',,,,,yes,
select_one tribe_list,10,A.8.10,etn_8,What is the mother language?,A.8.10 Quelle est le langue maternel de ${mem_nm_8}?,A.8.10 Luga ya ${mem_nm_8} ya asili ni gani?,Quelle est le langue maternel de ${mem_nm_8}?,Luga ya ${mem_nm_8} ya asili ni gani?,,,,,,,,,,,yes,
text,11,A.8.11,etn_aut_8,Other religion,A.8.11 Autre langue,A.8.11 Luga ingine?,Autre langue,Luga ingine?,,,,,,${etn_8}='96',,,,,yes,
select_one occupation_list,12,A.8.12,occup_8,What is the primary occupation,A.8.12 Quelle est la occupation primaire de ${mem_nm_8}?,A.8.12 Kazi ya kawaida ya ${mem_nm_8}?,Quelle est la occupation primaire de ${mem_nm_8}?,Kazi ya kawaida ya ${mem_nm_8}?,,,,,,${age_8}>12,,,,,yes,
